Processor,Display,Video graphics,Hard drive,Storage,RAM,Display Resolution,Screen size,Screen Height,Screen Width,Display Refresh Rate,CPU,GPU,Weight,Price
AMD Ryzen™ 5 5500H,"15.6"" FHD IPS 300nits Anti-glare, 45% NTSC, 144Hz",NVIDIA® GeForce RTX™ 2050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,8,1920x1080,15.6,1080,1920,144,5500,2050,2.0,31399.0
Intel Core i7-13650HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 4060,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,13650,4060,2.0,52499.0
Intel® Core™ i5-13450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,16,1920x1080,15.6,1080,1920,144,13450,3060,2.0,38888.0
Intel® Core™ i9-14900HX,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®",NVIDIA® GeForce RTX™ 4070,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,16,2560x1600,16.0,1600,2560,240,14900,4070,2.0,105000.0
Intel® Core™ Ultra 7 155H,"16"", QHD+, 240Hz, Non-Touch, 100% sRGB, 3ms, Advanced Optimus, CV Plus, NVIDIA G-SYNC",NVIDIA® GeForce RTX™ 4070,1TB SSD,512,16,2560x1600,16.0,1600,2560,240,8290,4070,2.0,99999.0
Intel® Core™ i9-14900HX,"16"" WQXGA IPS 350nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision®, G-SYNC®,",NVIDIA® GeForce RTX™ 4070,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,16,2560x1600,16.0,1600,2560,165,14900,4070,2.0,95999.0
Intel Core i5-12450H,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",NVIDIA® GeForce RTX™ 4050,512GB SSD,512,8,1920x1080,15.6,1080,1920,144,12450,4050,1.0,39999.0
Intel Core i7-14650HX,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®",NVIDIA® GeForce RTX™ 4060,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,16,2560x1600,16.0,1600,2560,240,14650,4060,2.0,69888.0
AMD Ryzen™ 7 7735HS,"15.6"" WQHD IPS 350nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision®, FreeSync™, G-SYNC®",NVIDIA® GeForce RTX™ 4060,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,16,2560x1440,15.6,1440,2560,165,7735,4060,2.0,63333.0
Intel Core i7-13650HX,"15.6"" FHD (1920x1080) 120Hz Display",NVIDIA® GeForce RTX™ 3050 6GB,"512GB, M.2, PCIe NVMe, SSD",512,16,1920 x 1080,15.6,1080,1920,120,13650,3050,2.0,52999.0
Intel Core i9-14900HX,"16"" WQXGA IPS 500nits Anti-glare, 100% DCI-P3, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance",NVIDIA® GeForce RTX™ 4090 16GB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,32,2560x1600,16.0,1600,2560,240,14900,4090,2.0,235000.0
Intel Core i7-14700HX,"40.9 cm (16.1"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",NVIDIA® GeForce RTX™ 4070 8GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080,40.9,1080,1920,144,14700,4070,2.0,67999.0
Intel Core i7-13700H,"40.9 cm (16.1"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 4060 8GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080,40.9,1080,1920,144,13700,4060,2.0,53999.0
Intel Core i7-13650HX,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level Anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 7ms G-Sync MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",Nvidia GeForce RTX 4060 8GB,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,16,1920 x 1200,16.0,1200,1920,165,13650,4060,2.0,62999.0
AMD Ryzen 7 7435HS,15.6-inch FHD (1920 x 1080) 16:9 144Hz Value IPS-level NTSC 45% SRGB 62.5% Adobe 7.34%,Nvidia GeForce RTX 3050 4GB,512GB PCIe 4.0 NVMe M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,7435,3050,2.0,32666.0
AMD Ryzen 7 7435HS,"15.6 inches, FHD 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144 Hz, Adaptive-Sync, Discrete",Nvidia GeForce RTX 2050 4GB,512GB PCIe® 4.0 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,7435,2050,2.0,32499.0
Intel Core i7-14650HX,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light",NVIDIA® GeForce RTX™ 4060 8GB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,1,2560 x 1600,16.0,1600,2560,240,14650,4060,2.0,78888.0
Intel Core i5-12450H,"39.6 cm (15.6) diagonal, FHD, 144 Hz, IPS,",Nvidia GeForce RTX 3050 4GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,8,1920 x 1080,39.6,1080,1920,144,12450,3050,2.0,30999.0
Intel Core i7-13650HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 4050 6GB,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,1,1920 x 1080,15.6,1080,1920,144,13650,4050,2.0,48888.0
Intel® Core™ i5-12450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920x1080,15.6,1080,1920,144,12450,3050,2.0,36999.0
Intel Core i7-13700HX,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance",NVIDIA® GeForce RTX™ 4060 8GB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,16,2560 x 1600,16.0,1600,2560,240,13700,4060,2.0,72999.0
Intel® Core™ i7-13650HX,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,1,1920 x 1080,15.6,1080,1920,144,13650,3050,2.0,45499.0
Intel Core i5-13500H,"39.6 cm (15.6"") diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 3050 4GB6,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,8,1920 x 1080,39.6,1080,1920,144,13500,3050,2.0,34477.0
Intel Core I5-12500H,"15.6"" diagonal FHD display",NVIDIA® GeForce RTX™ 3050 4GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,12500,3050,2.0,36249.0
Intel Core i5-12450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050 6GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,12450,3050,2.0,34333.0
Intel Core I7-13620H,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",Nvidia GeForce RTX 4070 8GB,512GB NVMe PCIe Gen4 M.2 SSD,512,16,1920 x 1080,15.6,1080,1920,144,13620,4070,2.0,71930.0
Intel® Core™ i7 12650H,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",Nvidia GeForce RTX3050 4GB,512GB NVMe PCIe Gen4 M.2 SSD,512,16,1920 x 1080,15.6,1080,1920,144,12650,3050,1.0,38999.0
Intel® Core™ i5 12450H,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",NVIDIA® GeForce RTX™ 2050,512GB NVMe PCIe Gen4 M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,12450,2050,1.0,28899.0
Intel Core i7-13620H,"15.6"" FHD, 144Hz, IPS-Level",NVIDIA® GeForce RTX™ 4050 6GB,512GB M.2 NVMe PCIe Gen4 SSD,512,16,1920x1080,15.6,1080,1920,144,13620,4050,1.0,49999.0
Intel Core i5-12450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 2050 4GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,16,1920 x 1080,15.6,1080,1920,144,12450,2050,2.0,31999.0
AMD Ryzen 5 5500H,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC, 144Hz",NVIDIA® GeForce RTX™ 2050 4GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,5500,2050,2.0,26999.0
Intel Core i7-12700H,"16.1"" Inch FHD 144Hz",NVIDIA® GeForce RTX™ 3060 6GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,16,1920 x 1080,16.1,1080,1920,144,12700,3060,2.0,52599.0
Intel Core i7-13700H,"39.6 cm (15.6"") diagonal FHD (1920 x 1080) IPS display, 144 Hz refresh rate, 9 ms response time, micro-edge, anti-glare, 250 nits brightness, 45% NTSC color",NVIDIA® GeForce RTX™ 4050  6GB,512GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,16,1920 x 1080,39.6,1080,1920,144,13700,4050,2.0,54499.0
Intel Core i5-12450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,16,1920 x 1080,15.6,1080,1920,144,12450,3050,2.0,38888.0
Intel® Core™ i5-12450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 2050 4GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,12450,2050,2.0,30999.0
AMD Ryzen 5 7535HS,15.6-inch FHD 16:9 Refresh Rate 144Hz Value IPS-level 250nits NTSC 45% SRGB 62.5% Adobe 47.34% Anti-glare display,NVIDIA® GeForce RTX™ 2050,512GB PCIe® 4.0 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,7535,2050,2.0,29199.0
AMD Ryzen 5 7535HS,15.6-inch FHD 16:9 Refresh Rate 144Hz Value IPS-level 250nits NTSC 45% SRGB 62.5% Adobe 47.34% Anti-glare display,NVIDIA® GeForce RTX™ 3050,512GB PCIe® 4.0 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,7535,3050,2.0,36000.0
AMD Ryzen 5 7535HS,15.6-inch FHD 16:9 144Hz Refresh Rate IPS-level 250nits NTSC 72% SRGB 100% Adobe 75.35% Anti-glare display,NVIDIA® GeForce RTX™ 4050,512GB PCIe® 4.0 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,7535,4050,2.0,39888.0
Intel Core i5-12450HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 2050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,12450,2050,2.0,31499.0
Intel® Core™ i7-14700HX,"16"" diagonal, WQXGA 240 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 400 nits, 100% sRGB [17,35]",NVIDIA® GeForce RTX™ 4070,1 TB PCIe® Gen4 NVMe™ Performance M.2 SSD,512,32,2560 x 1600,16.0,1600,2560,240,14700,4070,2.0,119999.0
Intel Core i7-13700HX,"17.3"" diagonal, QHD, 165 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",NVIDIA® GeForce RTX™ 4070 8GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,16,2560 x 1440,17.3,1440,2560,165,13700,4070,2.0,89999.0
Intel Core i7-13650HX,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 4050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,13650,4050,2.0,42999.0
AMD Ryzen 5 5600H,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision®, FreeSync™, G-SYNC®",NVIDIA® GeForce RTX™ 3060,1TB SSD M.2 2280 PCIe® 3.0x4 NVMe®,2280,16,1920 x 1080,15.6,1080,1920,165,5600,3060,2.0,55999.0
AMD Ryzen 5 5600H,"15.6"" FHD IPS 250nits Anti-glare, 45% NTSC, 120Hz, FreeSync™",NVIDIA® GeForce RTX™ 3050 Ti,512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,120,5600,3050,2.0,39499.0
AMD Ryzen™ 7 7840HS,"15.6"" FHD IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®, FreeSync™",NVIDIA® GeForce RTX™ 4050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,16,1920x1080,15.6,1080,1920,144,7840,4050,2.0,48000.0
Intel Core I7-13650HX,15.6'' Inch FHD LCD 360HZ,NVIDIA® GeForce RTX™ 4060,1TB SSD,512,16,1920 x 1080,15.6,1080,1920,360,13650,4060,2.0,63999.0
AMD Ryzen 7 5800H,"15.6"" FHD IPS 250nits Anti-glare, 45% NTSC, 120Hz",Nvidia GeForce RTX 3060 6GB,512GB SSD M.2 2280 PCIe® 3.0x4 NVMe,512,1,1920x1080,15.6,1080,1920,120,5800,3060,2.0,45999.0
Intel Core i5-13420H,"15.6"" diagonal, FHD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 3050,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,13420,3050,2.0,38799.0
Intel Core I5-12500H,"15.6"" diagonal, FHD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce® GTX 1650,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,8,1920 X 1080,15.6,1080,1920,144,12500,1650,2.0,30499.0
Intel Core I5-12450H,"15.6"" FHD IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,16,۱۹۲۰ x ۱۰۸۰,15.6,1080,1920,144,12450,3050,2.0,37149.0
Intel Core I5-13420H,"15.6"" FHD (1920x1080) IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,16,1920 X 1080,15.6,1080,1920,144,13420,3050,2.0,39800.0
Intel Core i9-14900HX,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level Anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 7ms G-Sync MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",NVIDIA® GeForce RTX™ 4070,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,16,1920 x 1200,16.0,1200,1920,165,14900,4070,2.0,94499.0
Intel Core I9-14900HX,"ROG Nebula HDR Display 18-inch 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio Mini LED anti-glare display DCI-P3: 100.00% Refresh Rate: 240Hz Response Time: 3ms G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",NVIDIA® GeForce RTX™ 4090,2TB PCIe® 4.0 NVMe™ M.2 Performance SSD,512,32,2560 x 1600,18.0,1600,2560,240,14900,4090,3.0,178199.0
Intel Core I9-14900HX,"ROG Nebula Display 18-inch 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio IPS-level anti-glare display DCI-P3: 100.00% Refresh Rate: 240Hz Response Time: 3ms G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",NVIDIA® GeForce RTX™ 4080,1TB PCIe® 4.0 NVMe™ M.2 Performance SSD,512,32,2560 x 1600,18.0,1600,2560,240,14900,4080,3.0,139000.0
Intel Core I9-13900H,"17.3"" FHD (1920*1080), 144Hz 45% NTSC",Nvidia GeForce RTX 4070,512GB NVMe PCIe SSD,512,16,1920 X 1080,17.3,1080,1920,144,13900,4070,2.0,77930.0
Intel Core I9-14900HX,"17” QHD+ (2560x1600), 240Hz, IPS-Level",NVIDIA® GeForce RTX™ 4080,1TB NVMe PCIe SSD Gen4x4,512,32,2560x1600,17.0,1600,2560,240,14900,4080,3.0,131845.0
Intel Core I9-14900HX,17” QHD,Nvidia GeForce RTX 4090,2TB NVMe PCIe Gen4x4 SSD,512,32,2560x1600,17.0,1600,2560,240,14900,4090,3.0,180449.0
Intel® Core™ i9-14900HX,"18"" UHD",NVIDIA® GeForce RTX™ 4090,2TB SSD,512,64,3840x2400,18.0,2400,3840,120,14900,4090,3.0,229999.0
Intel Core Ultra 7 155H,"15.6"" FHD (1920*1080), 144Hz 45%NTSC IPS-Level",Nvidia GeForce RTX 4060,512GB NVMe PCIe SSD,512,16,1920 X 1080,15.6,1080,1920,144,8290,4060,1.0,60999.0
AMD Ryzen™ 5 7535HS,"15.6-inch, FHD",Nvidia GeForce RTX 4050,512GB SSD,512,8,1920 x 1080,15.6,1080,1920,144,7535,4050,2.0,39666.0
Intel® Core™ Ultra 9,"ROG Nebula Display 16-inch 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio OLED glossy display DCI-P3: 100% Refresh Rate: 240Hz Response Time: 0.2ms G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",NVIDIA® GeForce RTX™ 4090,2TB PCIe® 4.0 NVMe™ M.2,512,32,"2.5K (2560 x 1600, WQXGA)",16.0,1600,2560,240,8290,4090,1.0,169888.0
AMD Ryzen 7-5800H,"15.6-inch, FHD (1920 x 1080) OLED 16:9 aspect ratio, 0.2ms response time, 60Hz refresh rate, 600nits HDR peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy displ",Nvidia® GeForce® RTX™ 3050 4GB,512GB M.2 NVMe™ PCIe® 3.0 SSD,512,16,1920 X 1080,15.6,1080,1920,60,5800,3050,1.0,48999.0
Intel Core I5-11400H,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",Nvidia GeForce GTX 1650 4GB,512GB SSD,512,8,1920 X 1080,15.6,1080,1920,144,11400,1650,1.0,28888.0
AMD Ryzen 7-5800H,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 3050 4GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,16,1920 X 1080,15.6,1080,1920,144,5800,3050,2.0,31999.0
AMD Ryzen 7-5800H,"15.6"" diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 3050 4GB,1 TB PCIe® NVMe™ TLC M.2 SSD,512,16,1920 X 1080,15.6,1080,1920,144,5800,3050,2.0,49199.0
Intel Core i5-12500H,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce® GTX 1650 4GB,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,8,1920 X 1080,15.6,1080,1920,144,12500,1650,2.0,45999.0
Intel Core I5-13420H,"15.6"" diagonal, FHD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 2050 4GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,8,1920 X 1080,15.6,1080,1920,144,13420,2050,2.0,31666.0
Intel Core I5-12500H,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce® GTX 1650 4GB,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,12500,1650,2.0,36999.0
Intel Core I7-13700HX,"16.1"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA GeForce RTX 4060 8GB,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,32,1920 x 1080,16.1,1080,1920,144,13700,4060,2.0,70499.0
Intel Core I7-13700H,"16.1"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 4060 8GB,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,16,1920 X 1080,16.1,1080,1920,144,13700,4060,2.0,59499.0
Intel Core I7-13700H,"16.1"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 4050 6GB,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,16,1920 X 1080,16.1,1080,1920,144,13700,4050,2.0,74999.0
AMD Ryzen 5-5600H,"15.6"" diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",AMD Radeon™ RX 6500M 4GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,8,1920 X 1080,15.6,1080,1920,144,5600,6500,2.0,27999.0
Intel® Core™ i7-13700H,"16"" WQXGA (2560x1600) IPS 300nits Anti-glare, 100% sRGB, 165Hz, G-SYNC®, Low Blue Light",NVIDIA® GeForce RTX™ 4050 6GB,512GB SSD M.2 2280 PCIe® 4.0x4 NVMe®,512,16,2560x1600,16.0,1600,2560,165,13700,4050,2.0,66000.0
Intel Core I7-12700H,"15.6"" Inch FHD 165Hz 250nits WVA Anti-Glare LED Backlit Narrow Border Display",Nvidia GeForce RTX 3060 6GB,1TB SSD,512,16,1920 X 1080,15.6,1080,1920,165,12700,3060,2.0,54499.0
Intel® Core™ i7-13700H,"16"" 3.2K IPS 430nits Anti-glare, 100% DCI-P3, 165Hz, Dolby® Vision™, G-SYNC®, Low Blue Light, High Gaming Performance",NVIDIA® GeForce RTX™ 4060 8GB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,16,3200 x 2000,16.0,2000,3200,165,13700,4060,2.0,79199.0
Intel® Core™ i7-12650H,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 165Hz",NVIDIA® GeForce RTX™ 3060 6GB,512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®,512,1,1920x1080,15.6,1080,1920,165,12650,3060,2.0,61200.0
Intel Core I7-13650HX,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 4060 8GB,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,1,1920x1080,15.6,1080,1920,144,13650,4060,2.0,73700.0
Intel Core I5-12450H,"15.6"" FHD IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,2,1920x1080,15.6,1080,1920,144,12450,2050,2.0,31799.0
Intel Core I5-12450H,"15.6"" FHD IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920x1080,15.6,1080,1920,144,12450,2050,2.0,31777.0
Intel Core I7-13650HX,"15.6"" FHD (1920x1080) 120Hz LCD Display",Nvidia GeForce RTX 4050 6GB,1TB SSD,512,8,1920 X 1080,15.6,1080,1920,120,13650,4050,2.0,58000.0
Intel Core I5-11400H,"15.6"" FHD, 16:9 IPS-Level 144Hz 45%NTSC",NVIDIA® GeForce RTX™ 3050 4GB,512GB NVMe SSD,512,16,1920 X 1080,15.6,1080,1920,144,11400,3050,1.0,45000.0
Intel Core I7-11800H,"15.6-inch, FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Adaptive-Sync, Optimus",NVIDIA® GeForce RTX™ 3050Ti 4GB,512GB PCIe P3 SSD,512,16,1920 X 1080,15.6,1080,1920,144,11800,3050,2.0,42800.0
AMD Ryzen 5-5600H,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA GeForce GTX 1650 4GB,1 TB PCIe® NVMe™ TLC M.2 SSD,512,8,1920 X 1080,15.6,1080,1920,144,5600,1650,2.0,39049.0
AMD Ryzen™ 5 5600H,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Nvidia GeForce GTX 1650,1 TB PCIe® NVMe™ TLC M.2 SSD,512,16,1920 x 1080,15.6,1080,1920,144,5600,1650,2.0,33499.0
Intel Core I7-12700H,"15.6"" WQHD IPS 300nits Anti-glare, 100% sRGB, 165Hz, Dolby® Vision™, G-SYNC®",NVIDIA® GeForce RTX™ 3050 Ti 4GB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,16,2560 x 1440,15.6,1440,2560,165,12700,3050,2.0,49000.0
Intel Core I7-13650HX,"15.6"" FHD (1920x1080) 120Hz Display",Nvidia GeForce RTX 4050 6GB,1 TB SSD,512,16,1920 X 1080,15.6,1080,1920,120,13650,4050,2.0,59000.0
Intel Core I7-12700H,"15.6"" Inch FHD 165Hz 250nits WVA Anti-Glare LED Backlit Narrow Border Display",Nvidia GeForce RTX 3060 6GB,1TB SSD,512,16,1920 X 1080,15.6,1080,1920,165,12700,3060,2.0,52777.0
Intel Core I5-13420H,"15.6"" FHD (1920x1080) IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 3050 6GB,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,1,1920 X 1080,15.6,1080,1920,144,13420,3050,2.0,37999.0
AMD Ryzen™ 7 7840HS,"15.6"" FHD (1920x1080) IPS 350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®, FreeSync™",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,16,1920 x 1080,15.6,1080,1920,144,7840,3050,2.0,49999.0
